"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"939","RT @Greg_Palast: There's zero doubt that #Trump lost #Michigan — and not by a small margin! https://t.co/DVriNODYOw
#RecountMI #HamiltonEle…",FALSE,0,NA,2016-12-18 16:02:07,FALSE,NA,"810515494172237826",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","remote_franklin",771,TRUE,FALSE,NA,NA,"Tennessee, USA","en","http://pbs.twimg.com/profile_images/799745351292858368/SO1G5zSi_normal.jpg"
"940",".@NickKristof A week ago, I proposed #PutinsPoodle as a #Trump hashtag.  https://t.co/QBawXzNSED",FALSE,1,"NickKristof",2016-12-18 15:57:33,FALSE,"810301544923021312","810514344706539520","17004618","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jpitney",0,FALSE,FALSE,NA,NA,"Claremont, California","en","http://pbs.twimg.com/profile_images/605550437115162624/Nrm2HYf7_normal.jpg"
"941","RT @katieschwartz: Can we - oh, I don't know- maybe stop #normalizing #Trump and his equally #psychopathic #cabinet?!  https://t.co/m66gFNW…",FALSE,0,NA,2016-12-18 15:57:30,FALSE,NA,"810514335130877953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lildg54",2,TRUE,FALSE,NA,NA,"West University Place, TX","en","http://pbs.twimg.com/profile_images/789440168935559168/Z16_X5It_normal.jpg"
"942","""#Trump’s victory most #extreme/#reckless #irresponsible #voices on the #right feel #emboldened/#empowered.  https://t.co/U28YlXTehj",FALSE,0,NA,2016-12-18 15:55:59,FALSE,NA,"810513952979288064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katieschwartz",0,FALSE,FALSE,NA,NA,"Los Angeles","en","http://pbs.twimg.com/profile_images/662835381381951488/Th95TNm2_normal.jpg"
"943","RT @AntiPCPatriot: SO it's okay #Hypocrite #Liberals #Obama to hangout with #Iranian #Terrorists, but #Trump can't talk with #Russians? htt…",FALSE,0,NA,2016-12-18 15:55:44,FALSE,NA,"810513888856969216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BlakOps4TRUMP",17,TRUE,FALSE,NA,NA,"SEA-AIR-AND-LAND, Global","en","http://pbs.twimg.com/profile_images/723176821181800449/vZ-yK8NH_normal.jpg"
"944","#Trump is #stoking #base on his #tour. But is he building bridges? | Of course not! He's a psychopathic #narcissist  https://t.co/QQ7iWCR9ix",FALSE,0,NA,2016-12-18 15:53:44,FALSE,NA,"810513386567892992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katieschwartz",0,FALSE,FALSE,NA,NA,"Los Angeles","en","http://pbs.twimg.com/profile_images/662835381381951488/Th95TNm2_normal.jpg"
"945","Vapid Orange Turd #trump gets skewered again! Best part, ""ghost of #Christmas past"" skeletor @KellyannePolls - #SNL https://t.co/ggMjQ7XnNl",FALSE,0,NA,2016-12-18 15:52:46,FALSE,NA,"810513143398998016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrJonBurk",0,FALSE,FALSE,NA,NA,"Los Angeles, CA","en","http://pbs.twimg.com/profile_images/776418505994346496/aMdeQ0oo_normal.jpg"
"946","RT @Greg_Palast: There's zero doubt that #Trump lost #Michigan — and not by a small margin! https://t.co/DVriNODYOw
#RecountMI #HamiltonEle…",FALSE,0,NA,2016-12-18 15:52:07,FALSE,NA,"810512977820610561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EliseErosenb827",771,TRUE,FALSE,NA,NA,"Hallandale Beach, FL","en","http://pbs.twimg.com/profile_images/378800000633975533/6fa0c276d1bea5be6a6fa52919b9e05d_normal.jpeg"
"947","RT @Greg_Palast: “#Crosscheck probably won #Michigan for #Trump... and probably quite a few other states too!” — @Thom_Hartmann https://t.c…",FALSE,0,NA,2016-12-18 15:51:55,FALSE,NA,"810512929581924352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gastonacts",355,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/804469043965100032/aXUP0kW-_normal.jpg"
"948","RT @Greg_Palast: ""In many key states, the number of people purged by #Crosscheck was much, much larger than #Trump’s margin of victory.” —…",FALSE,0,NA,2016-12-18 15:51:39,FALSE,NA,"810512862842159104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mikewood83",1431,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/3130572633/3247c95295ef2c3f435b47c44806281c_normal.jpeg"
